token,count
a,16
activities,4
all,2
already,2
alternatives,4
am,12
an,9
analysis,4
and,24
andrew,4
answers,2
anticipation,4
are,15
article,1
articles,3
as,6
asap,1
at,12
attention,4
attorney,6
aware,4
basic,4
be,2
been,6
before,4
better,2
bi,1
border,14
bosses,2
by,5
cal,2
california,8
call,4
capital,1
cc,5
changed,4
changes,4
client,6
com,1
compared,4
compuserve,1
confidential,6
considerations,4
considered,4
contribute,4
copies,1
corp,3
could,4
couriered,1
d,9
danny,2
darrell,6
decision,4
denne,3
designate,4
determination,4
determining,4
df,2
discuss,4
do,4
doc,1
drew,4
ect,6
ees,3
enron,22
enronxgate,2
et,8
europe,1
events,2
excellent,1
excess,8
explain,2
explanation,4
followed,4
following,4
for,16
forwarded,5
fossum,4
frequency,4
from,1
full,2
gas,10
general,1
get,3
give,4
gls,1
glslanguageservices,1
good,1
groups,4
harris,2
has,1
have,8
here,4
him,2
hou,2
houston,1
how,5
hyatt,2
i,19
if,2
in,14
includes,4
increased,4
individuals,4
information,4
informed,4
input,1
involved,4
involving,4
iona,2
is,21
it,5
j,2
julia,2
karen,4
kean,2
kevin,2
know,3
last,4
let,3
like,7
line,2
lingual,1
litigation,4
ll,1
lon,3
maclean,1
make,12
many,1
mccarty,2
me,10
more,6
morrison,3
natural,4
necessary,8
need,2
nice,1
of,28
on,9
operational,12
operationally,4
operations,4
or,4
organising,1
original,1
over,1
pack,2
people,2
pictures,1
plate,2
please,13
plenty,1
pm,2
potential,4
prepare,4
prepared,2
pressure,4
pressures,4
previous,4
privilege,2
privileged,10
process,4
pull,2
putting,2
questions,2
reached,4
reason,4
reasons,4
reprints,1
request,4
resources,1
response,4
resulted,1
right,2
s,16
sale,12
sales,16
schoolcraft,2
sell,4
sent,2
several,4
since,4
so,2
some,3
specific,8
steve,2
steven,4
stuff,2
subject,5
such,8
system,4
thanks,7
that,18
the,46
them,4
these,6
this,4
those,4
thought,2
to,46
too,1
trade,1
translation,3
tw,12
ve,4
volume,4
way,4
we,5
well,1
what,16
whether,4
which,4
will,2
year,4
years,4
you,2
