                                                                           show_trgm                                                                            |                                                                                    show_trgm                                                                                     | similarity |                         address                         |                       address                        
----------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+---------------------------------------------------------+------------------------------------------------------
 {1,101,city,ersey,h#,hudso,hudso!,j#,jerse,jerse!,s#,stree,stree!,treet,udson}                                                                                 | {101,city,ersey,h#,hudso,hudso!,j#,jerse,jerse!,s#,stree,stree!,treet,udson}                                                                                                     |   0.933333 | 101 Hudson Street # 1 Jersey City                       | 101 Hudson Street Jersey City
 {1,430,a#,avenu,avenu!,c#,chica,chica!,chiga,hicag,higan,icago,ichig,m#,michi,michi!,n,venue}                                                                  | {11,a#,avenu,avenu!,c#,chica,chica!,chiga,hicag,higan,icago,ichig,m#,michi,michi!,n#,north,north!,venue}                                                                         |   0.789474 | 430 N Michigan Avenue # 1 Chicago                       | 11 North Michigan Avenue Chicago
 {1,430,a#,avenu,avenu!,c#,chica,chica!,chiga,hicag,higan,icago,ichig,m#,michi,michi!,n,venue}                                                                  | {1401,a#,avenu,avenu!,c#,chica,chica!,chiga,hicag,higan,icago,ichig,m#,michi,michi!,s#,south,south!,venue}                                                                       |   0.789474 | 430 N Michigan Avenue # 1 Chicago                       | 1401 South Michigan Avenue Chicago
 {1,850,a#,avenu,avenu!,g#,grand,grand!,paul,s#,saint,saint!,venue}                                                                                             | {1096,a#,avenu,avenu!,g#,grand,grand!,paul,s#,saint,saint!,venue}                                                                                                                |   0.846154 | 850 Grand Avenue # 1 Saint Paul                         | 1096 Grand Avenue Saint Paul
 {1,a,a#,akron,akron!,chang,e#,excha,excha!,hange,s#,stree,stree!,treet,w,xchan}                                                                                | {1666,a#,akron,akron!,chang,e#,excha,excha!,hange,s#,stree,stree!,treet,west,xchan}                                                                                              |     0.8125 | 1 W Exchange Street # A Akron                           | 1666 West Exchange Street Akron
 {1#,10260,10260!,ackso,arkwa,ckson,dtown,idtow,j#,jacks,jacks!,ksonv,m#,midto,midto!,nvill,onvil,p#,parkw,parkw!,rkway,sonvi,ville}                            | {1#,10260,10260!,ackso,ckson,dtown,idtow,j#,jacks,jacks!,ksonv,m#,midto,midto!,nvill,onvil,pkwy,sonvi,ville}                                                                     |   0.782609 | 10260 Midtown Parkway Jacksonville                      | 10260 Midtown Pkwy Jacksonville
 {1#,10260,10260!,ackso,arkwa,ckson,dtown,idtow,j#,jacks,jacks!,ksonv,m#,midto,midto!,nvill,onvil,p#,parkw,parkw!,rkway,sonvi,ville}                            | {1#,10281,10281!,ackso,arkwa,ckson,dtown,idtow,j#,jacks,jacks!,ksonv,m#,midto,midto!,nvill,onvil,p#,parkw,parkw!,rkway,sonvi,ville}                                              |   0.913043 | 10260 Midtown Parkway Jacksonville                      | 10281 Midtown Parkway Jacksonville
 {1#,10260,10260!,ackso,arkwa,ckson,dtown,idtow,j#,jacks,jacks!,ksonv,m#,midto,midto!,nvill,onvil,p#,parkw,parkw!,rkway,sonvi,ville}                            | {1#,10367,10367!,ackso,arkwa,ckson,dtown,idtow,j#,jacks,jacks!,ksonv,m#,midto,midto!,nvill,onvil,p#,parkw,parkw!,rkway,sonvi,ville}                                              |   0.913043 | 10260 Midtown Parkway Jacksonville                      | 10367 Midtown Parkway Jacksonville
 {1#,10330,10330!,c#,cuper,cuper!,ertin,n,perti,rd,rtino,upert,w#,wolfe,wolfe!}                                                                                 | {1#,10123,10123!,c#,cuper,cuper!,ertin,n,perti,road,rtino,upert,w#,wolfe,wolfe!}                                                                                                 |        0.8 | 10330 N. Wolfe Rd Cupertino                             | 10123 N. Wolfe Road Cupertino
 {1#,10330,10330!,c#,cuper,cuper!,ertin,n,perti,rd,rtino,upert,w#,wolfe,wolfe!}                                                                                 | {1#,10330,10330!,c#,cuper,cuper!,ertin,n,perti,road,rtino,upert,w#,wolfe,wolfe!}                                                                                                 |   0.933333 | 10330 N. Wolfe Rd Cupertino                             | 10330 N. Wolfe Road Cupertino
 {1#,10350,10350!,anza,b#,boule,boule!,c#,cuper,cuper!,de,ertin,evard,levar,oulev,perti,rtino,s#,south,south!,uleva,upert}                                      | {1#,10100,10100!,anza,b#,boule,boule!,c#,cuper,cuper!,de,ertin,evard,levar,oulev,perti,rtino,s#,south,south!,uleva,upert}                                                        |   0.909091 | 10350 South De Anza Boulevard Cupertino                 | 10100 South De Anza Boulevard Cupertino
 {1#,10350,10350!,anza,b#,boule,boule!,c#,cuper,cuper!,de,ertin,evard,levar,oulev,perti,rtino,s#,south,south!,uleva,upert}                                      | {1#,10145,10145!,anza,b#,boule,boule!,c#,cuper,cuper!,de,ertin,evard,levar,n#,north,north!,oulev,perti,rtino,uleva,upert}                                                        |   0.772727 | 10350 South De Anza Boulevard Cupertino                 | 10145 North De Anza Boulevard Cupertino
 {1#,10350,10350!,anza,b#,boule,boule!,c#,cuper,cuper!,de,ertin,evard,levar,oulev,perti,rtino,s#,south,south!,uleva,upert}                                      | {1#,10350,10350!,anza,b#,boule,boule!,c#,cuper,cuper!,de,ertin,evard,levar,oulev,perti,rtino,s#,south,south!,uleva,upert}                                                        |          1 | 10350 South De Anza Boulevard Cupertino                 | 10350 South De Anza Boulevard Cupertino
 {1#,10350,10350!,anza,b#,boule,boule!,c#,cuper,cuper!,de,ertin,evard,levar,oulev,perti,rtino,s#,south,south!,uleva,upert}                                      | {1#,10385,10385!,anza,b#,boule,boule!,c#,cuper,cuper!,de,ertin,evard,levar,oulev,perti,rtino,s#,south,south!,uleva,upert}                                                        |   0.909091 | 10350 South De Anza Boulevard Cupertino                 | 10385 South De Anza Boulevard Cupertino
 {1#,10690,10690!,anza,blvd,c#,cuper,cuper!,de,ertin,n,perti,rtino,upert}                                                                                       | {1#,10030,10030!,anza,blvd,c#,cuper,cuper!,de,ertin,perti,rtino,s,upert}                                                                                                         |   0.785714 | 10690 N. De Anza Blvd. Cupertino                        | 10030 S De Anza Blvd Cupertino
