                                                                           show_trgm                                                                           |                                                                         show_trgm                                                                         | similarity 
---------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------
 {1#,151,151!,515,ant,aur,est,r#,ran,res,res!,sta,tau,ura}                                                                                                     | {1#,151,151!,515,ant,aur,est,r#,ran,res,res!,sta,tau,ura}                                                                                                 |          1
 {ant,aur,b,est,r#,ran,res,res!,sta,tau,ura}                                                                                                                   | {1#,151,151!,515,ant,aur,est,r#,ran,res,res!,sta,tau,ura}                                                                                                 |   0.714286
 {ant,aur,c#,cib,cib!,est,ibo,r#,ran,res,res!,sta,tau,ura}                                                                                                     | {1#,151,151!,515,ant,aur,est,r#,ran,res,res!,sta,tau,ura}                                                                                                 |   0.714286
 {ant,aur,c#,col,col!,est,ole,r#,ran,res,res!,sta,tau,ura}                                                                                                     | {1#,151,151!,515,ant,aur,est,r#,ran,res,res!,sta,tau,ura}                                                                                                 |   0.714286
 {2#,21c,21c!,eum,h#,hot,hot!,ill,isv,iui,l#,liu,liu!,lle,m#,mus,mus!,ote,seu,svi,tel,uis,use,vil}                                                             | {2#,21c,21c!,eum,h#,hot,hot!,ill,isv,l#,lle,lou,lou!,m#,mus,mus!,ote,oui,seu,svi,tel,uis,use,vil}                                                         |      0.875
 {2#,290,290!,900}                                                                                                                                             | {2#,290,290!,900}                                                                                                                                         |          1
 {2nd,4#,42n,42n!,afo,b#,bar,bar!,eaf,eet,foo,g#,gri,gri!,ill,o#,ood,oys,oys!,ree,ril,s#,sea,sea!,ste,str,str!,ter,tre,yst}                                    | {2nd,4#,42n,42n!,afo,b#,bar,bar!,eaf,eet,ety,fop,g#,gri,gri!,ill,o#,opo,oys,oys!,pod,ree,ril,s#,sea,sea!,str,str!,stw,tre,twr,yst}                        |     0.8125
 {66,d#,din,din!,ine,new}                                                                                                                                      | {66,d#,din,din!,ine,nee}                                                                                                                                  |   0.833333
 {a#,aca,aca!,apu,aur,cap,est,lco,pul,r#,res,res!,rnt,sta,tau,ulc,urn}                                                                                         | {a#,aca,aca!,anb,apu,ara,cap,est,lco,nbt,pul,r#,ran,res,res!,sta,tar,ulc}                                                                                 |   0.722222
 {a#,aca,aca!,ant,apu,aur,can,cap,est,exi,ica,lco,m#,mex,mex!,pul,r#,ran,res,res!,sta,tau,ulc,ura,xic}                                                         | {a#,aca,aca!,apu,aur,can,cap,est,exi,ica,m#,mex,mex!,oco,puo,r#,ran,res,res!,sta,tau,uoc,ura,xic}                                                         |       0.84
 {a#,ame,ame!,ant,aur,can,eli,est,exi,ias,ica,lia,m#,mel,mex,mex!,r#,ran,res,res!,sta,tau,ura,xic}                                                             | {a#,aca,aca!,apu,aur,can,cap,est,exi,ica,m#,mex,mex!,oco,puo,r#,ran,res,res!,sta,tau,uoc,ura,xic}                                                         |   0.708333
