                      name                       |                      name                       |                                                                           show_trgm                                                                           |                                                                         show_trgm                                                                         | similarity 
-------------------------------------------------+-------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------+------------
 1515 Restaurant                                 | 1515 Restaurant                                 | {1#,151,151!,515,ant,aur,est,r#,ran,res,res!,sta,tau,ura}                                                                                                     | {1#,151,151!,515,ant,aur,est,r#,ran,res,res!,sta,tau,ura}                                                                                                 |          1
 B Restaurant                                    | 1515 Restaurant                                 | {ant,aur,b,est,r#,ran,res,res!,sta,tau,ura}                                                                                                                   | {1#,151,151!,515,ant,aur,est,r#,ran,res,res!,sta,tau,ura}                                                                                                 |   0.714286
 Cibo Restaurant                                 | 1515 Restaurant                                 | {ant,aur,c#,cib,cib!,est,ibo,r#,ran,res,res!,sta,tau,ura}                                                                                                     | {1#,151,151!,515,ant,aur,est,r#,ran,res,res!,sta,tau,ura}                                                                                                 |   0.714286
 Cole' Restaurant                                | 1515 Restaurant                                 | {ant,aur,c#,col,col!,est,ole,r#,ran,res,res!,sta,tau,ura}                                                                                                     | {1#,151,151!,515,ant,aur,est,r#,ran,res,res!,sta,tau,ura}                                                                                                 |   0.714286
 21c Museum Hotel - Liuisville                   | 21c Museum Hotel - Louisville                   | {2#,21c,21c!,eum,h#,hot,hot!,ill,isv,iui,l#,liu,liu!,lle,m#,mus,mus!,ote,seu,svi,tel,uis,use,vil}                                                             | {2#,21c,21c!,eum,h#,hot,hot!,ill,isv,l#,lle,lou,lou!,m#,mus,mus!,ote,oui,seu,svi,tel,uis,use,vil}                                                         |      0.875
 2900                                            | 2900                                            | {2#,290,290!,900}                                                                                                                                             | {2#,290,290!,900}                                                                                                                                         |          1
 42nd Street Oyster Bar & Seafood Grill          | 42nd Streety Oystwr Bar & Seafopod Grill        | {2nd,4#,42n,42n!,afo,b#,bar,bar!,eaf,eet,foo,g#,gri,gri!,ill,o#,ood,oys,oys!,ree,ril,s#,sea,sea!,ste,str,str!,ter,tre,yst}                                    | {2nd,4#,42n,42n!,afo,b#,bar,bar!,eaf,eet,ety,fop,g#,gri,gri!,ill,o#,opo,oys,oys!,pod,ree,ril,s#,sea,sea!,str,str!,stw,tre,twr,yst}                        |     0.8125
 66 Dinew                                        | 66 Dinee                                        | {66,d#,din,din!,ine,new}                                                                                                                                      | {66,d#,din,din!,ine,nee}                                                                                                                                  |   0.833333
 Acapulco Restaurnt                              | Acapulco Restaranbt                             | {a#,aca,aca!,apu,aur,cap,est,lco,pul,r#,res,res!,rnt,sta,tau,ulc,urn}                                                                                         | {a#,aca,aca!,anb,apu,ara,cap,est,lco,nbt,pul,r#,ran,res,res!,sta,tar,ulc}                                                                                 |   0.722222
 Acapulco Mexican Restaurant                     | Acapuoco Mexican Restauran                      | {a#,aca,aca!,ant,apu,aur,can,cap,est,exi,ica,lco,m#,mex,mex!,pul,r#,ran,res,res!,sta,tau,ulc,ura,xic}                                                         | {a#,aca,aca!,apu,aur,can,cap,est,exi,ica,m#,mex,mex!,oco,puo,r#,ran,res,res!,sta,tau,uoc,ura,xic}                                                         |       0.84
 Amelias Mexican Restaurant                      | Acapuoco Mexican Restauran                      | {a#,ame,ame!,ant,aur,can,eli,est,exi,ias,ica,lia,m#,mel,mex,mex!,r#,ran,res,res!,sta,tau,ura,xic}                                                             | {a#,aca,aca!,apu,aur,can,cap,est,exi,ica,m#,mex,mex!,oco,puo,r#,ran,res,res!,sta,tau,uoc,ura,xic}                                                         |   0.708333
 Aztec Mexican Restaurants                       | Acapuoco Mexican Restauran                      | {a#,ant,aur,azt,azt!,can,est,exi,ica,m#,mex,mex!,nts,r#,ran,res,res!,sta,tau,tec,ura,xic,zte}                                                                 | {a#,aca,aca!,apu,aur,can,cap,est,exi,ica,m#,mex,mex!,oco,puo,r#,ran,res,res!,sta,tau,uoc,ura,xic}                                                         |   0.708333
 Acenar Restaurant                               | Acenar Restaurant                               | {a#,ace,ace!,ant,aur,cen,ena,est,nar,r#,ran,res,res!,sta,tau,ura}                                                                                             | {a#,ace,ace!,ant,aur,cen,ena,est,nar,r#,ran,res,res!,sta,tau,ura}                                                                                         |          1
 Acme Oyster House                               | Acme Oysxtyer House                             | {a#,acm,acm!,cme,h#,hou,hou!,o#,ous,oys,oys!,ste,ter,use,yst}                                                                                                 | {a#,acm,acm!,cme,h#,hou,hou!,o#,ous,oys,oys!,sxt,tye,use,xty,yer,ysx}                                                                                     |   0.705882
 Agave Restaurant                                | Acorn Restaurant                                | {a#,aga,aga!,ant,aur,ave,est,gav,r#,ran,res,res!,sta,tau,ura}                                                                                                 | {a#,aco,aco!,ant,aur,cor,est,orn,r#,ran,res,res!,sta,tau,ura}                                                                                             |   0.733333
 Akbar Restaurant                                | Acorn Restaurant                                | {a#,akb,akb!,ant,aur,bar,est,kba,r#,ran,res,res!,sta,tau,ura}                                                                                                 | {a#,aco,aco!,ant,aur,cor,est,orn,r#,ran,res,res!,sta,tau,ura}                                                                                             |   0.733333
 Acropolis Gree Tavern                           | Acropolis Greek Tavern                          | {a#,acr,acr!,ave,cro,ern,g#,gre,gre!,lis,oli,opo,pol,ree,rop,t#,tav,tav!,ver}                                                                                 | {a#,acr,acr!,ave,cro,eek,ern,g#,gre,gre!,lis,oli,opo,pol,ree,rop,t#,tav,tav!,ver}                                                                         |       0.95
 Actors Theatre of Louisville                    | Actors Theatre of Louisville                    | {a#,act,act!,atr,cto,eat,hea,ill,isv,l#,lle,lou,lou!,of,ors,oui,svi,t#,the,the!,tor,tre,uis,vil}                                                              | {a#,act,act!,atr,cto,eat,hea,ill,isv,l#,lle,lou,lou!,of,ors,oui,svi,t#,the,the!,tor,tre,uis,vil}                                                          |          1
 Adagia Resaurantr                               | Adagia Restaurant                               | {a#,ada,ada!,agi,ant,aur,dag,esa,gia,ntr,r#,ran,res,res!,sau,ura}                                                                                             | {a#,ada,ada!,agi,ant,aur,dag,est,gia,r#,ran,res,res!,sta,tau,ura}                                                                                         |     0.8125
 Agave Restaurant                                | Agave Restaurat                                 | {a#,aga,aga!,ant,aur,ave,est,gav,r#,ran,res,res!,sta,tau,ura}                                                                                                 | {a#,aga,aga!,aur,ave,est,gav,r#,rat,res,res!,sta,tau,ura}                                                                                                 |   0.866667
 A J Gator Sprts Bar & Grill                     | A J Gators Soots Bar & Grill                    | {a,ato,b#,bar,bar!,g#,gat,gat!,gri,gri!,ill,j,prt,ril,rts,s#,spr,spr!,tor}                                                                                    | {a,ato,b#,bar,bar!,g#,gat,gat!,gri,gri!,ill,j,oot,ors,ots,ril,s#,soo,soo!,tor}                                                                            |       0.75
 Agave Restaurant                                | Akbar Restaurant                                | {a#,aga,aga!,ant,aur,ave,est,gav,r#,ran,res,res!,sta,tau,ura}                                                                                                 | {a#,akb,akb!,ant,aur,bar,est,kba,r#,ran,res,res!,sta,tau,ura}                                                                                             |   0.733333
 Akbar Restaurant                                | Akbar Restaurant                                | {a#,akb,akb!,ant,aur,bar,est,kba,r#,ran,res,res!,sta,tau,ura}                                                                                                 | {a#,akb,akb!,ant,aur,bar,est,kba,r#,ran,res,res!,sta,tau,ura}                                                                                             |          1
 Akira Sushi Bar and Japanese Restaurant         | Akira Sushi Bar and Japanese Restaurant         | {a#,aki,aki!,and,and!,ane,ant,apa,aur,b#,bar,bar!,ese,est,ira,j#,jap,jap!,kir,nes,pan,r#,ran,res,res!,s#,shi,sta,sus,sus!,tau,ura,ush}                        | {a#,aki,aki!,and,and!,ane,ant,apa,aur,b#,bar,bar!,ese,est,ira,j#,jap,jap!,kir,nes,pan,r#,ran,res,res!,s#,shi,sta,sus,sus!,tau,ura,ush}                    |          1
